LocNumber,Loc,Date,Temp,Prec
108,서울,2017-01-25 03,-9.1,
108,서울,2017-01-25 04,-9.6,
108,서울,2017-01-25 05,-9.5,
108,서울,2017-01-25 06,-10.1,
108,서울,2017-01-25 07,-10.2,
108,서울,2017-01-25 08,-10.2,
108,서울,2017-01-25 09,-9.3,
108,서울,2017-01-25 10,-6.7,
108,서울,2017-01-25 11,-2.7,
108,서울,2017-01-25 12,-1.3,
108,서울,2017-01-25 13,-1.6,
108,서울,2017-01-25 14,-0.3,
108,서울,2017-01-25 15,0.0,
108,서울,2017-01-25 16,0.1,
108,서울,2017-01-25 17,-0.4,
108,서울,2017-01-25 18,-2.1,
108,서울,2017-01-25 19,-2.9,
108,서울,2017-01-25 20,-3.7,
108,서울,2017-01-25 21,-4.3,
108,서울,2017-01-25 22,-5.0,
108,서울,2017-01-25 23,-5.6,
108,서울,2017-01-26 00,-5.8,
108,서울,2017-01-26 01,-6.1,
108,서울,2017-01-26 02,-6.5,
108,서울,2017-01-26 03,-6.9,
108,서울,2017-01-26 04,-7.3,
108,서울,2017-01-26 05,-7.6,
108,서울,2017-01-26 06,-7.8,
108,서울,2017-01-26 07,-7.8,
108,서울,2017-01-26 08,-7.6,
108,서울,2017-01-26 09,-6.4,
108,서울,2017-01-26 10,-4.1,
108,서울,2017-01-26 11,-2.1,
108,서울,2017-01-26 12,-0.4,
108,서울,2017-01-26 13,1.3,
108,서울,2017-01-26 14,2.8,
108,서울,2017-01-26 15,3.0,
108,서울,2017-01-26 16,2.5,
108,서울,2017-01-26 17,2.4,
108,서울,2017-01-26 18,2.3,
108,서울,2017-01-26 19,2.3,
108,서울,2017-01-26 20,2.4,
108,서울,2017-01-26 21,2.6,
108,서울,2017-01-26 22,2.8,
108,서울,2017-01-26 23,3.0,
108,서울,2017-01-27 00,3.2,0.3
108,서울,2017-01-27 01,3.0,
108,서울,2017-01-27 02,2.7,
108,서울,2017-01-27 03,1.5,3.0
108,서울,2017-01-27 04,-0.7,
108,서울,2017-01-27 05,-2.2,
108,서울,2017-01-27 06,-3.4,
108,서울,2017-01-27 07,-4.2,
108,서울,2017-01-27 08,-4.8,
108,서울,2017-01-27 09,-4.8,
108,서울,2017-01-27 10,-4.0,
108,서울,2017-01-27 11,-3.4,
108,서울,2017-01-27 12,-2.4,
108,서울,2017-01-27 13,-0.8,
108,서울,2017-01-27 14,-0.3,
108,서울,2017-01-27 15,0.1,
108,서울,2017-01-27 16,0.1,
108,서울,2017-01-27 17,-0.7,
108,서울,2017-01-27 18,-2.1,
108,서울,2017-01-27 19,-2.8,
108,서울,2017-01-27 20,-3.5,
108,서울,2017-01-27 21,-4.2,
108,서울,2017-01-27 22,-4.6,
108,서울,2017-01-27 23,-5.2,
108,서울,2017-01-28 00,-5.6,
108,서울,2017-01-28 01,-6.1,
108,서울,2017-01-28 02,-6.5,
108,서울,2017-01-28 03,-7.1,
108,서울,2017-01-28 04,-7.3,
108,서울,2017-01-28 05,-7.9,
108,서울,2017-01-28 06,-8.0,
108,서울,2017-01-28 07,-8.2,
108,서울,2017-01-28 08,-8.1,
108,서울,2017-01-28 09,-6.8,
108,서울,2017-01-28 10,-4.0,
108,서울,2017-01-28 11,-1.5,
108,서울,2017-01-28 12,0.2,
108,서울,2017-01-28 13,2.6,
108,서울,2017-01-28 14,4.0,
108,서울,2017-01-28 15,4.0,
108,서울,2017-01-28 16,3.9,
108,서울,2017-01-28 17,3.5,
108,서울,2017-01-28 18,2.4,
108,서울,2017-01-28 19,1.7,
108,서울,2017-01-28 20,1.4,
108,서울,2017-01-28 21,1.3,
108,서울,2017-01-28 22,1.1,
108,서울,2017-01-28 23,1.1,
108,서울,2017-01-29 00,1.1,
108,서울,2017-01-29 01,1.0,
108,서울,2017-01-29 02,1.1,
108,서울,2017-01-29 03,1.1,
108,서울,2017-01-29 04,1.3,
108,서울,2017-01-29 05,1.3,
108,서울,2017-01-29 06,1.4,0.0
108,서울,2017-01-29 07,1.6,
108,서울,2017-01-29 08,1.5,
108,서울,2017-01-29 09,1.8,
108,서울,2017-01-29 10,2.2,
108,서울,2017-01-29 11,2.5,
108,서울,2017-01-29 12,1.7,0.2
108,서울,2017-01-29 13,1.6,
108,서울,2017-01-29 14,1.0,
108,서울,2017-01-29 15,0.9,0.8
108,서울,2017-01-29 16,0.6,
108,서울,2017-01-29 17,0.7,
108,서울,2017-01-29 18,0.5,1.8
108,서울,2017-01-29 19,0.2,
108,서울,2017-01-29 20,0.0,
108,서울,2017-01-29 21,-0.2,1.3
108,서울,2017-01-29 22,-0.4,
108,서울,2017-01-29 23,-0.6,
108,서울,2017-01-30 00,-0.9,0.4
108,서울,2017-01-30 01,-1.1,
108,서울,2017-01-30 02,-1.3,
108,서울,2017-01-30 03,-1.8,0.1
108,서울,2017-01-30 04,-2.7,
108,서울,2017-01-30 05,-4.0,
